left,price,room,salon,area,age,province,district
Daire,6000000.0,3.0,1.0,130.0,15.0,İzmir , Dikili 
Villa,38000000.0,7.0,1.0,495.0,21.0,İzmir , Urla 
Daire,3250000.0,3.0,1.0,120.0,3.0,İzmir , Seferihisar 
Daire,2575000.0,3.0,1.0,120.0,30.0,İzmir , Konak 
Daire,2850000.0,6.0,2.0,308.0,40.0,İzmir , Ödemiş 
Yazlık,4900000.0,3.0,1.0,120.0,35.0,İzmir , Menderes 
Daire,3150000.0,3.0,1.0,110.0,30.0,İzmir , Bornova 
Daire,3000000.0,3.0,1.0,125.0,28.0,İzmir , Buca 
Daire,2050000.0,3.0,1.0,95.0,35.0,İzmir , Çiğli 
Daire,2000000.0,3.0,1.0,120.0,35.0,İzmir , Ödemiş 
Daire,3400000.0,3.0,1.0,110.0,30.0,İzmir , Karşıyaka 
Daire,2600000.0,1.0,1.0,75.0,15.0,İzmir , Karşıyaka 
Daire,4250000.0,2.0,1.0,100.0,5.0,İzmir , Menderes 
Villa,12000000.0,3.0,1.0,150.0,18.0,İzmir , Çeşme 
Daire,5050000.0,3.0,1.0,130.0,15.0,İzmir , Karşıyaka 
Daire,3550000.0,2.0,1.0,95.0,3.0,İzmir , Dikili 
Daire,4700000.0,3.0,1.0,130.0,40.0,İzmir , Karabağlar 
Daire,5950000.0,3.0,1.0,140.0,15.0,İzmir , Menderes 
Villa,5750000.0,5.0,1.0,312.0,4.0,İzmir , Dikili 
Daire,1750000.0,3.0,1.0,115.0,31.0,İzmir , Menemen 
Daire,3300000.0,2.0,1.0,95.0,5.0,İzmir , Karşıyaka 
Daire,3750000.0,3.0,1.0,200.0,4.0,İzmir , Menderes 
Daire,2500000.0,3.0,1.0,120.0,26.0,İzmir , Karabağlar 
Daire,3700000.0,3.0,1.0,125.0,33.0,İzmir , Karşıyaka 
Daire,3450000.0,3.0,1.0,110.0,30.0,İzmir , Karabağlar 
Daire,3500000.0,3.0,1.0,130.0,31.0,İzmir , Konak 
Daire,3100000.0,2.0,1.0,96.0,40.0,İzmir , Balçova 
Daire,2200000.0,3.0,1.0,135.0,21.0,İzmir , Torbalı 
Daire,5800000.0,3.0,1.0,135.0,25.0,İzmir , Karşıyaka 
Daire,2375000.0,2.0,1.0,85.0,3.0,İzmir , Menderes 
Müstakil,18500000.0,7.0,2.0,2.79,21.0,İzmir , Menderes 
Daire,3022000.0,3.0,1.0,143.0,20.0,İzmir , Menemen 
Villa,5000000.0,3.0,1.0,110.0,30.0,İzmir , Foça 
Daire,4000000.0,3.0,1.0,145.0,9.0,İzmir , Buca 
Daire,2750000.0,2.0,1.0,89.0,1.0,İzmir , Torbalı 
Villa,7700000.0,2.0,1.0,85.0,30.0,İzmir , Urla 
Daire,3300000.0,2.0,1.0,200.0,35.0,İzmir , Karabağlar 
Villa,17000000.0,5.0,2.0,290.0,31.0,İzmir , Urla 
Daire,3300000.0,2.0,1.0,200.0,35.0,İzmir , Karabağlar 
Daire,3400000.0,2.0,1.0,100.0,5.0,İzmir , Foça 
Daire,4750000.0,3.0,1.0,170.0,11.0,İzmir , Bornova 
Daire,2550000.0,2.0,1.0,115.0,7.0,İzmir , Ödemiş 
